ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
03/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,104482
03/01/2006 12:00:00 AM,Terminal 2,Arrival,International,152411
03/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,105012
03/01/2006 12:00:00 AM,Terminal 2,Departure,International,151851
03/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,139916
03/01/2006 12:00:00 AM,Terminal 3,Arrival,International,26501
03/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,137800
03/01/2006 12:00:00 AM,Terminal 3,Departure,International,66573
03/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,402709
03/01/2006 12:00:00 AM,Terminal 4,Arrival,International,71866
03/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,413534
03/01/2006 12:00:00 AM,Terminal 4,Departure,International,40511
03/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,157999
03/01/2006 12:00:00 AM,Terminal 5,Arrival,International,26383
03/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,163103
03/01/2006 12:00:00 AM,Terminal 5,Departure,International,25504
03/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,211470
03/01/2006 12:00:00 AM,Terminal 6,Arrival,International,6613
03/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,215690
03/01/2006 12:00:00 AM,Terminal 6,Departure,International,4583
03/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,272761
03/01/2006 12:00:00 AM,Terminal 7,Arrival,International,36015
03/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,280632
03/01/2006 12:00:00 AM,Terminal 7,Departure,International,43017
03/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,123912
03/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,121600
03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2350
03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,379129
03/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,347678
04/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,545
04/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,445
04/01/2006 12:00:00 AM,Misc. Terminal,Arrival,Domestic,512
04/01/2006 12:00:00 AM,Misc. Terminal,Departure,Domestic,426
04/01/2006 12:00:00 AM,Terminal 1,Arrival,Domestic,435996
04/01/2006 12:00:00 AM,Terminal 1,Departure,Domestic,439128
04/01/2006 12:00:00 AM,Terminal 1,Departure,International,811
04/01/2006 12:00:00 AM,Terminal 2,Arrival,Domestic,100241
04/01/2006 12:00:00 AM,Terminal 2,Arrival,International,154905
04/01/2006 12:00:00 AM,Terminal 2,Departure,Domestic,103348
04/01/2006 12:00:00 AM,Terminal 2,Departure,International,147160
04/01/2006 12:00:00 AM,Terminal 3,Arrival,Domestic,131026
04/01/2006 12:00:00 AM,Terminal 3,Arrival,International,25800
04/01/2006 12:00:00 AM,Terminal 3,Departure,Domestic,137904
04/01/2006 12:00:00 AM,Terminal 3,Departure,International,66570
04/01/2006 12:00:00 AM,Terminal 4,Arrival,Domestic,408030
04/01/2006 12:00:00 AM,Terminal 4,Arrival,International,66472
04/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,413701
04/01/2006 12:00:00 AM,Terminal 4,Departure,International,45322
04/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,156099
04/01/2006 12:00:00 AM,Terminal 5,Arrival,International,28977
04/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,158133
04/01/2006 12:00:00 AM,Terminal 5,Departure,International,28241
04/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,211819
04/01/2006 12:00:00 AM,Terminal 6,Arrival,International,9870
04/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,223222
04/01/2006 12:00:00 AM,Terminal 6,Departure,International,5810
04/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,269491
04/01/2006 12:00:00 AM,Terminal 7,Arrival,International,33734
04/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,270784
